Title
Uber Torches 2026 AI Budget on Claude Code in Four Months (briefs.co)
Ask HN: Who is hiring? (May 2026)
"whohas – Command-line utility for cross-distro, cross-repository package search (github.com/whohas)"
Flock cameras keep telling police a man who doesn't have a warrant has a warrant (youtube.com)
Ask HN: Who wants to be hired? (May 2026)
"Sally McKee, who coined the term ""the memory wall"", has died (online-tribute.com)"
Show HN: My Private GitHub on Postgres (github.com/calebwin)
Understand Anything (github.com/lum1104)
Running Adobe's 1991 PostScript Interpreter in the Browser (pagetable.com)
Your Website Is Not for You (websmith.studio)
"I'm Peter Roberts, immigration attorney who does work for YC and startups. AMA"
An open letter asking NHS England to keep its code open (keepthingsopen.com)
AWS stops billing Middle East cloud customers as repairs to war damage drag on (arstechnica.com)
Advanced Quantization Algorithm for LLMs (github.com/intel)
"New copy of earliest poem in English, written 1,3k years ago, discovered in Rome (tcd.ie)"
"Show HN: Loopsy, a way for terminals and AI agents on different machines to talk (github.com/leox255)"
Engineering tough blood clots for rapid haemostasis and enhanced regeneration (nature.com)
Show HN: Perfect Bluetooth MIDI for Windows
OpenWarp (zerx.dev)
Shai-Hulud Themed Malware Found in the PyTorch Lightning AI Training Library (semgrep.dev)
Opus 4.7 knows the real Kelsey (theargumentmag.com)
Grok 4.3 (x.ai)
Maladaptive Frugality (herbertlui.net)
"Softmax, can you derive the Jacobian? And should you care? (idlemachines.co.uk)"
How an oil refinery works (construction-physics.com)
"Show HN: WhatCable, a tiny menu bar app for inspecting USB-C cables (github.com/darrylmorley)"
If I could make my own GitHub (matduggan.com)
"Claude Code refuses requests or charges extra if your commits mention ""OpenClaw"" (twitter.com/theo)"
A Letter from Dijkstra on APL (1982) (jsoftware.com)
I built a Game Boy emulator in F# (nickkossolapov.github.io)
